频道 ID,频道网址,频道标题
UCXl4i9dYBrFOabk0xGmbkRA,http://www.youtube.com/channel/UCXl4i9dYBrFOabk0xGmbkRA,Dwarkesh Patel
UCY0xL8V6NzzFcwzHCgB8orQ,http://www.youtube.com/channel/UCY0xL8V6NzzFcwzHCgB8orQ,Dapp University
UCYLxoSziVePq9rpptc8lEwA,http://www.youtube.com/channel/UCYLxoSziVePq9rpptc8lEwA,Kyle Chasse crypto
UCYuFgMBwrjzOTnfa6AD_Rvg,http://www.youtube.com/channel/UCYuFgMBwrjzOTnfa6AD_Rvg,imToken
UC_5lJHgnMP_lb_VpIiXV0hQ,http://www.youtube.com/channel/UC_5lJHgnMP_lb_VpIiXV0hQ,课代表立正
UC_liJHPLUjE63r4Cb43jurw,http://www.youtube.com/channel/UC_liJHPLUjE63r4Cb43jurw,Chainalysis
UC_nHe7H3x6isdYxFU1eZdsA,http://www.youtube.com/channel/UC_nHe7H3x6isdYxFU1eZdsA,牛南寒
UC_o4_cOevPVYC5pXs9OOexg,http://www.youtube.com/channel/UC_o4_cOevPVYC5pXs9OOexg,Ceazor's Snack Sandwich
UC_sdlVY9C6gi8w0S9nDGIxg,http://www.youtube.com/channel/UC_sdlVY9C6gi8w0S9nDGIxg,Crypto Gorilla
UCa3lIvPs6ITefQ7oPP2WHhw,http://www.youtube.com/channel/UCa3lIvPs6ITefQ7oPP2WHhw,幣玩Beeone - TOP 區塊鏈遊戲玩家
UCaRLNHXRddAbYMlqAcrlwaA,http://www.youtube.com/channel/UCaRLNHXRddAbYMlqAcrlwaA,PC Crypto
UCatItl6C7wJp9txFMbXbSTg,http://www.youtube.com/channel/UCatItl6C7wJp9txFMbXbSTg,DeFi Dad
UCbLhGKVY-bJPcawebgtNfbw,http://www.youtube.com/channel/UCbLhGKVY-bJPcawebgtNfbw,Altcoin Daily
UCbUYi3LCI2Rab0y-3MSJoHA,http://www.youtube.com/channel/UCbUYi3LCI2Rab0y-3MSJoHA,Phyrex
UCc4Rz_T9Sb1w5rqqo9pL1Og,http://www.youtube.com/channel/UCc4Rz_T9Sb1w5rqqo9pL1Og,The Moon Show
UCcabW7890RKJzL968QWEykA,http://www.youtube.com/channel/UCcabW7890RKJzL968QWEykA,CS50
UCcefcZRL2oaA_uBNeo5UOWg,http://www.youtube.com/channel/UCcefcZRL2oaA_uBNeo5UOWg,Y Combinator
UCdmmvItyMi3fwlqMb2XHx4A,http://www.youtube.com/channel/UCdmmvItyMi3fwlqMb2XHx4A,旁白君
UCeazsjKmU-LhEe7VJdWo9UA,http://www.youtube.com/channel/UCeazsjKmU-LhEe7VJdWo9UA,The Master Investor Podcast with Wilfred Frost
UCevXpeL8cNyAnww-NqJ4m2w,http://www.youtube.com/channel/UCevXpeL8cNyAnww-NqJ4m2w,Anthony Pompliano
UCf0PBRjhf0rF8fWBIxTuoWA,http://www.youtube.com/channel/UCf0PBRjhf0rF8fWBIxTuoWA,20VC with Harry Stebbings
UCfF9ZO8Ug4xk_AJd4aeT5HA,http://www.youtube.com/channel/UCfF9ZO8Ug4xk_AJd4aeT5HA,ETHGlobal
UCg1_fEvi3kFQF5G2GVA8dIQ,http://www.youtube.com/channel/UCg1_fEvi3kFQF5G2GVA8dIQ,DeFiPrincess 
UCgz9NU06t_FkT0Py1Vadczw,http://www.youtube.com/channel/UCgz9NU06t_FkT0Py1Vadczw,ETHDenver
UCh8gGV8Nuo1jj__5kvWMOEQ,http://www.youtube.com/channel/UCh8gGV8Nuo1jj__5kvWMOEQ,blocmates.
UChF5O40UBqAc82I7-i5ig6A,http://www.youtube.com/channel/UChF5O40UBqAc82I7-i5ig6A,Bloomberg Podcasts
UChktQbmIzLZKSwEZh8yE1Kw,http://www.youtube.com/channel/UChktQbmIzLZKSwEZh8yE1Kw,Flywheel DeFi
UChnNjLyx_5rk_iDPQ2BQDQA,http://www.youtube.com/channel/UChnNjLyx_5rk_iDPQ2BQDQA,硅谷101播客
UCin0esJVqoNoGtPu2EsL5_A,http://www.youtube.com/channel/UCin0esJVqoNoGtPu2EsL5_A,Our Crypto Talk
UCjIMtrzxYc0lblGhmOgC_CA,http://www.youtube.com/channel/UCjIMtrzxYc0lblGhmOgC_CA,Every
UCjVnEC8VvtyvKBiGiT2EXgQ,http://www.youtube.com/channel/UCjVnEC8VvtyvKBiGiT2EXgQ,Cipholio 
UCjemQfjaXAzA-95RKoy9n_g,http://www.youtube.com/channel/UCjemQfjaXAzA-95RKoy9n_g,Discover Crypto
UCjlPLMYEsq0pjgLL1q24mSg,http://www.youtube.com/channel/UCjlPLMYEsq0pjgLL1q24mSg,邦妮區塊鏈 Bonnie Blockchain
UCjsgQKPpR7ubPQhPqjf8kyA,http://www.youtube.com/channel/UCjsgQKPpR7ubPQhPqjf8kyA,Lightspeed
UCk6EGp5yqsB-YtBE3AF8dWw,http://www.youtube.com/channel/UCk6EGp5yqsB-YtBE3AF8dWw,Bitcoin For Corporations
UCkFve2Z8oybM_lCMHgMQC5w,http://www.youtube.com/channel/UCkFve2Z8oybM_lCMHgMQC5w,Blue Collar Bitcoin
UCkrwgzhIBKccuDsi_SvZtnQ,http://www.youtube.com/channel/UCkrwgzhIBKccuDsi_SvZtnQ,Forward Guidance
UCks5v9rXhBWcN39EzJEhIvg,http://www.youtube.com/channel/UCks5v9rXhBWcN39EzJEhIvg,Around The Blockchain
UCm-_A21MQzWw79-VqhOiZpA,http://www.youtube.com/channel/UCm-_A21MQzWw79-VqhOiZpA,Airdrop Official
UCnjkrlqaWEBSnKZQ71gdyFA,http://www.youtube.com/channel/UCnjkrlqaWEBSnKZQ71gdyFA,Chainlink
UCnpBg7yqNauHtlNSpOl5-cg,http://www.youtube.com/channel/UCnpBg7yqNauHtlNSpOl5-cg,Peter Yang
UCopIbIk5NCUF-KyW3kb85vQ,http://www.youtube.com/channel/UCopIbIk5NCUF-KyW3kb85vQ,CryptoArchives
UCozwejESfvl88CBBL0KgEhw,http://www.youtube.com/channel/UCozwejESfvl88CBBL0KgEhw,Hamster Kombat
UCp6aBHRM6ZS_kLeC57HV4kg,http://www.youtube.com/channel/UCp6aBHRM6ZS_kLeC57HV4kg,TheStreet
UCpoWCikpTk6Ysw4GSI___hw,http://www.youtube.com/channel/UCpoWCikpTk6Ysw4GSI___hw,Presidio Bitcoin
UCqK_GSMbpiV8spgD3ZGloSw,http://www.youtube.com/channel/UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau
UCr6Gf8G_pU_PBoSaRf0LwnA,http://www.youtube.com/channel/UCr6Gf8G_pU_PBoSaRf0LwnA,CryptoKoryo
UCrYmtJBtLdtm2ov84ulV-yg,http://www.youtube.com/channel/UCrYmtJBtLdtm2ov84ulV-yg,Ivan on Tech
UCru3nlhzHrbgK21x0MdB_eg,http://www.youtube.com/channel/UCru3nlhzHrbgK21x0MdB_eg,Natalie Brunell
UCsF_QUNkHqdTtBczqpgxyfw,http://www.youtube.com/channel/UCsF_QUNkHqdTtBczqpgxyfw,Decypher Podcast
UCsJ_6Nyh0YS7T6fsCfZ12Fw,http://www.youtube.com/channel/UCsJ_6Nyh0YS7T6fsCfZ12Fw,峰哥亡命天涯
UCt7esZt_MwWXl9fgT0yO1eA,http://www.youtube.com/channel/UCt7esZt_MwWXl9fgT0yO1eA,Drake on Digital 
UCtOV5M-T3GcsJAq8QKaf0lg,http://www.youtube.com/channel/UCtOV5M-T3GcsJAq8QKaf0lg,Bitcoin Magazine
UCueSh5RSkkVlieLhXBfEW2A,http://www.youtube.com/channel/UCueSh5RSkkVlieLhXBfEW2A,老徐常识看世界
UCvJJ_dzjViJCoLf5uKUTwoA,http://www.youtube.com/channel/UCvJJ_dzjViJCoLf5uKUTwoA,CNBC
UCvY8-F_kLWbXDAdFcSFFFXg,http://www.youtube.com/channel/UCvY8-F_kLWbXDAdFcSFFFXg,Wajahat Mughal
UCvau2hf5EXDy6Flu-tZZ0Sg,http://www.youtube.com/channel/UCvau2hf5EXDy6Flu-tZZ0Sg,Noah Seidman
UCwx7WJp0kW1hx7DAuVdly_w,http://www.youtube.com/channel/UCwx7WJp0kW1hx7DAuVdly_w,十六的加密日常 | SixteeN #链游 #Web3
UCxODjeUwZHk3p-7TU-IsDOA,http://www.youtube.com/channel/UCxODjeUwZHk3p-7TU-IsDOA,Boxmining
UCyLaBb4OibRL7KMdd4wZ0OQ,http://www.youtube.com/channel/UCyLaBb4OibRL7KMdd4wZ0OQ,threadguy
UCyocm7zOzWBpk6Awpa2vzUw,http://www.youtube.com/channel/UCyocm7zOzWBpk6Awpa2vzUw,Cryptolution
UCzE0RljG_GmAciSAmLX5Ugw,http://www.youtube.com/channel/UCzE0RljG_GmAciSAmLX5Ugw,The DCo Podcast
UCzQUP1qoWDoEbmsQxvdjxgQ,http://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,PowerfulJRE
